<FITC-A>: pMEK (S221)	<Alexa Fluor 700-A>: CD8	<PE-Gr-A>: ppERK	<Pacific Blue-A>: CTV-OT1
15848.666	1045.23584	2113.37231	4786.96924
11675.79	793.771606	272.828949	1134.62402
9529.58008	2018.50281	1542.6012	4917.60791
5561.49023	1427.29529	1262.26514	2649.91992
2804.47266	1517.64758	8.17493534	5958.50977
1151.43848	150.628006	65.8033295	1588.19324
1174.12378	1544.71216	-16.7257957	6261.39551
2790.01147	228.240219	112.149071	759.218445
9538.13672	1071.03418	1360.77893	2216.61035
8769.81738	1625.4292	1252.06921	2165.16748
5874.48389	714.324829	1020.34015	1050.93225
4351.42871	288.700806	395.379791	1284.12634
7595.08301	702.084229	99.3900681	2585.83057
1287.79773	478.480865	5.23478079	17410.5059
4347.10303	1604.27368	950.731506	1562.44287
3187.45996	751.044128	337.66156	5855.23389
1257.43164	528.874451	27.0826569	1470.86658
3221.81543	946.468323	207.317795	12590.8926
20750.6797	1140.30029	2065.89404	7553.62305
1383.3938	515.685364	75.4290466	3115.09448
8133.35938	1560.16003	2042.87097	7707.02002
12424.207	2062.92236	692.701477	16216.7383
380.29776	753.192017	5.97261524	1160.85059
16229.8115	1869.69507	1307.26746	3708.91675
5243.0332	445.291077	1502.18945	2813.43457
691.483643	864.989136	69.7523575	3693.55078
775.425171	128.031586	-27.7955589	5366.74609
2452.73901	676.361389	81.0437164	2034.34949
3586.67798	292.277557	467.269226	1401.74976
9214.80762	2223.14551	2025.89636	963.494263
19911.8906	678.491943	587.335571	479.254639
3745.28198	459.740448	150.878616	474.286987
14537.8008	1157.92273	1303.61365	1362.13477
21159.8125	1846.90442	2854.84033	1913.0918
1831.39575	544.428101	86.2243729	977.85376
3246.06348	986.382141	107.711731	1971.06763
1232.63196	221.226547	-53.9130974	1163.79529
9869.61035	1709.23108	1899.7843	1300.12683
14406.5293	1527.80054	293.52005	3968.04272
5259.24902	702.052185	50.3520813	2416.65918
4984.25879	761.263245	377.940552	490.484528
9672.3291	894.494751	276.406067	5445.87939
510.444733	523.403687	36.6903267	2423.39844
4566.65186	334.242645	177.451294	1433.49316
18706.3652	1066.25012	566.250183	4156.00049
2553.96045	1295.00012	36.6273613	7727.17383
226.401718	121.511681	-13.7686148	419.580139
10953.6367	962.93811	2222.23535	4077.09692
8652.71582	1584.87048	1539.85681	5014.76709
